        File           Player   Solution  
  SGF/book1_001.sgf    Black       G6     
  SGF/book1_002.sgf    Black       H1     
  SGF/book1_003.sgf    Black       N2     
  SGF/book1_004.sgf    Black       F11    
  SGF/book1_005.sgf    Black       G1     
  SGF/book1_006.sgf    Black       G1     
  SGF/book1_007.sgf    Black       E8     
  SGF/book1_008.sgf    Black       F8     
  SGF/book1_009.sgf    Black       E8     
  SGF/book1_010.sgf    Black       G7     
  SGF/book1_011.sgf    Black       G1     
  SGF/book1_012.sgf    Black       D1     
  SGF/book1_013.sgf    Black       E7     
  SGF/book1_014.sgf    Black       F13    
  SGF/book1_015.sgf    Black       K5     
  SGF/book1_016.sgf    Black       E10    
  SGF/book1_017.sgf    Black       L7     
  SGF/book1_018.sgf    Black       G1     
  SGF/book1_019.sgf    Black       E9     
  SGF/book1_020.sgf    Black       G1     
  SGF/book1_021.sgf    Black       F7     
  SGF/book1_022.sgf    Black       F2     
  SGF/book1_023.sgf    Black       G1     
  SGF/book1_024.sgf    Black       G6     
